Site,nYear,nYearMODIS,PFT,Latitude,Longitude
IT-SRo,14,12,ENF,43.72786,10.28444
IT-Tor,7,7,GRA,45.84444,7.57806
JP-MBF,3,3,DBF,44.3869,142.3186
JP-SMF,5,5,MF,35.2617,137.0788
MY-PSO,7,7,EBF,2.973,102.3062
NL-Hor,8,8,GRA,52.24035,5.0713
NL-Loo,19,14,ENF,52.16658,5.74356
PA-SPn,3,3,DBF,9.31814,-79.6346
PA-SPs,3,3,GRA,9.31378,-79.63143
RU-Che,4,4,WET,68.61304,161.34143
RU-Cok,12,12,SH,70.82914,147.49428
RU-Fyo,17,14,ENF,56.46153,32.92208
RU-Ha1,3,3,GRA,54.72517,90.00215
SD-Dem,5,5,WSH,13.2829,30.4783
SJ-Adv,4,4,WET,78.186,15.923
SJ-Blv,2,2,SNOW,78.92163,11.83109
SN-Dhr,4,4,WSH,15.40278,-15.43222
US-AR1,4,4,GRA,36.4267,-99.42
US-AR2,4,4,GRA,36.6358,-99.5975
US-ARb,2,2,GRA,35.5497,-98.0402
US-ARc,2,2,GRA,35.54649,-98.04
US-ARM,10,10,CRO,36.6058,-97.4888
US-Atq,6,6,WET,70.4696,-157.4089
US-Blo,11,7,ENF,38.8953,-120.6328
US-Cop,7,7,GRA,38.09,-109.39
US-CRT,3,3,CRO,41.628495,-83.347086
US-GBT,8,6,ENF,41.36579,-106.2397
US-GLE,11,11,ENF,41.36653,-106.2399
US-Goo,5,5,GRA,34.2547,-89.8735
US-Ha1,22,12,DBF,42.5378,-72.1715
US-IB2,8,8,GRA,41.84062,-88.24103
US-Ivo,4,4,WET,68.4865,-155.7503
US-KS1,1,1,ENF,28.4583,-80.6709
US-KS2,4,4,SH,28.6086,-80.6715
US-Lin,2,2,CRO,36.3566,-119.8423
US-Los,15,14,WET,46.0827,-89.9792
US-LWW,NA,NA,GRA,34.9604,-97.9789
US-Me1,2,2,ENF,44.5794,-121.5
US-Me2,13,13,ENF,44.4523,-121.5574
US-Me3,6,6,ENF,44.3154,-121.6078
US-Me4,NA,NA,ENF,44.4992,-121.6224
US-Me5,3,2,ENF,44.43719,-121.56676
US-Me6,5,5,ENF,44.3232842,-121.6078
US-MMS,16,14,DBF,39.3232,-86.4131
US-Myb,5,5,WET,38.049861,-121.76498
US-Ne1,13,13,CRO,41.16506,-96.47664
US-Ne2,13,13,CRO,41.16487,-96.4701
US-Ne3,13,13,CRO,41.17967,-96.43965
US-NR1,17,14,ENF,40.0329,-105.5464
US-Oho,10,10,DBF,41.5545,-83.8438
US-ORv,1,1,WET,40.0201,-83.0183
US-PFa,20,14,MF,45.9459,-90.2723
US-Prr,5,5,ENF,65.12367,-147.48756
US-SRC,7,7,SH,31.9083,-110.8395
US-SRG,7,7,GRA,31.789379,-110.827675
US-SRM,11,11,WSH,31.8214,-110.8661
US-Sta,5,5,SH,41.3966,-106.8024
US-Syv,14,14,MF,46.242,-89.3477
US-Ton,14,14,WSH,38.4316,-120.96598
US-Tw1,3,3,WET,38.1074,-121.6469
US-Tw2,2,2,CRO,38.1047,-121.6433
US-Tw3,2,2,CRO,38.1159,-121.6467
US-Tw4,2,2,WET,38.10298,-121.6414
US-Twt,6,6,CRO,38.1087204,-121.6531
US-UMB,15,14,DBF,45.5598,-84.7138
US-UMd,8,8,DBF,45.5625,-84.6975
US-Var,15,14,GRA,38.4133,-120.9507
US-WCr,16,14,DBF,45.8059,-90.0799
US-Whs,8,8,SH,31.7438,-110.0522
US-Wi0,1,1,ENF,46.618778,-91.081444
US-Wi1,1,1,DBF,46.730472,-91.232944
US-Wi2,1,1,ENF,46.686889,-91.152833
US-Wi3,3,3,DBF,46.634722,-91.098667
US-Wi4,4,4,ENF,46.739333,-91.16625
US-Wi5,1,1,ENF,46.653083,-91.085806
US-Wi6,2,2,SH,46.624889,-91.298222
US-Wi7,1,1,SH,46.649111,-91.069278
US-Wi8,1,1,DBF,46.722333,-91.252417
US-Wi9,2,2,ENF,46.618778,-91.081444
US-Wkg,11,11,GRA,31.7365,-109.9419
US-WPT,3,3,WET,41.464639,-82.996157
ZM-Mon,10,9,DBF,-15.4391,23.2525
